,Net Income,Income Available to Common Excluding Extraordinary Items,Total Equity,Diluted Normalized EPS,Net Income After Taxes,avg Volume,Net Income Before Taxes,Total Liabilities & Shareholders' Equity,Cash From Operating Activities,Net Change in Cash,Low,Net Income Before Extraordinary Items,Cash From Financing Activities,Total Liabilities,High,Total Assets,Diluted Net Income,Diluted Weighted Average Shares,Changes in Working Capital,Cash From Investing Activities,Total Common Shares Outstanding,Diluted EPS Excluding Extraordinary Items
705,0.3068738746545731,0.30848462678808647,0.08485091444916357,0.0008997262513685927,0.3127212852628774,0.0240487857414328,0.29677228129108746,0.044866237614344134,0.5896041946893837,0.35828317194451714,0.048624653468820965,0.30848462678808647,0.14545512717034528,0.04226860258256413,0.03315765292147836,0.044866237614344134,0.3093278068812005,0.044563562404838275,0.7768986181566089,0.6111749803623727,0.04656335262869255,0.0008115017435453922
706,0.3001049520013095,0.31983404247126546,0.07608347057293924,0.0008955144254036483,0.32394258956104616,0.03498702559729477,0.3057098777160489,0.03635546619068278,0.5925683754296817,0.36466989524333177,0.044142098253599826,0.31983404247126546,0.117080484743776,0.03429582130618657,0.03717341556295779,0.03635546619068278,0.30258284880931824,0.045739129999975,0.7724191258324057,0.6684570287099509,0.04684571091454114,0.0008317592017999854
707,0.23618051744225232,0.23636433645867427,0.08194071249024877,0.0007033749361457099,0.24159591883351733,0.021062636148627793,0.2405323037870785,0.03718810588905375,0.515561948886564,0.41066870913757625,0.026416579355013355,0.23636433645867427,0.17011696850445232,0.03433285458216943,0.02486326968783962,0.03718810588905375,0.23888473125707596,0.027672091145240853,0.7678729743962351,0.654286724963976,0.029416264994039983,0.0006717052246993372
708,0.23467845210241003,0.23486263260237578,0.07708026350004334,0.0006935473422275064,0.24018730726767426,0.015538458005054153,0.23836630465347813,0.02781957965901519,0.5141794948438201,0.3669412637548651,0.029629146885772964,0.23486263260237578,0.1297560720222332,0.024844607246876253,0.020480831249613446,0.02781957965901519,0.237387983804425,0.028172119896894072,0.7685395655159082,0.6796907919035754,0.029048200189395634,0.0006648858823166027
709,0.23520802642094418,0.2352861901003061,0.0769632486781659,0.0006945501579334456,0.24065367190771692,0.017057284450611696,0.2386627045349182,0.02731668655517296,0.513394858765506,0.3669124514693065,0.027841137908965276,0.2352861901003061,0.13163210547670884,0.024313904300617663,0.017629153818287845,0.02731668655517296,0.23791568322683398,0.02887216014920858,0.7680929494657273,0.6766710190237888,0.029836910485062092,0.000664685313422993
710,0.2197038235265798,0.2198916077857569,0.04519415792667071,0.0007306515233472544,0.2251282978642403,0.11832065893003205,0.2230852947658821,0.0012038882702003633,0.5011661809395705,0.3671267908636242,0.0,0.2198916077857569,0.13224348878233794,0.0005753135525360204,0.0004130624939255516,0.0012038882702003633,0.2224663711549901,0.0037407150911177396,0.7692023570661991,0.6807869096357025,0.003912528873369407,0.0006953723541452977
711,0.22016349403506746,0.22034799098977684,0.04459398023749675,0.0007432870012420876,0.22557952944759582,0.0035638260784203245,0.22356075057569977,0.001026460373651467,0.5009095551237981,0.3665815183594285,0.00012282117737884564,0.22034799098977684,0.13197445976780814,0.00047113411676895915,0.0,0.001026460373651467,0.22292441425364112,0.0037432152348760056,0.7685554303845564,0.680879427569668,0.003919364362598517,0.0007078076255491075
712,0.22001954610666588,0.22016008548160412,0.04401196151512525,0.000732256028476757,0.22539374500323597,0.005630164316425544,0.22353065458773816,0.0009259851680336347,0.5006062247795546,0.36639973684779187,0.0003517531678673063,0.22016008548160412,0.1318836830172435,0.00044812196110170246,0.00064278708947773,0.0009259851680336347,0.22278097595609542,0.003798718426309513,0.7684800389289215,0.6810239917183835,0.00391200306650563,0.000701188852059983
713,0.2216680628171428,0.2218553743670703,0.04105939585680853,0.0007599337419606772,0.22707322876613242,0.0032013951590661666,0.22454183418326634,0.000577535204836723,0.5016568275793354,0.36688748082182243,0.07037737015629203,0.2218553743670703,0.1319441669175316,0.0005071336813091582,0.11028105920709674,0.000577535204836723,0.22442365628537983,0.004256744762823862,0.7685303665584566,0.6809512934823886,0.004411519587094386,0.0007308730483142385
714,0.22018467700780883,0.22037234554590787,0.04007426107306926,0.0007230301239821169,0.22560427532645524,0.002720074093461085,0.22347958260816697,0.0004410006135591339,0.5004804961889106,0.3661021779686858,0.07696960886050354,0.22037234554590787,0.13188891845944203,0.0005047281285127068,0.0644399579427279,0.0004410006135591339,0.22294552223053749,0.0042977471204594265,0.7680414886312884,0.6807012063485458,0.004412571200821941,0.0006943695096772485
